id,domain,email_id,outcome
526,gamingcommunity.net,support@gamingcommunity.net,not safe
527,fashionbrand.net,inquiries@fashionbrand.net,safe
528,techstartup.net,founders@techstartup.net,not safe
529,realtycompany.net,info@realtycompany.net,safe
530,petcare.net,info@petcare.net,not safe
531,digitalmarketingagency.com,contact@digitalmarketingagency.com,safe
532,softwarecompany.net,info@softwarecompany.net,not safe
533,musicproductionstudio.net,bookings@musicproductionstudio.net,safe
534,educationalplatform.com,support@educationalplatform.com,not safe
535,eventplanningcompany.net,events@eventplanningcompany.net,safe
536,freelancemarketplace.net,support@freelancemarketplace.net,not safe
537,healthcareprovider.com,info@healthcareprovider.com,safe
538,photographywebsite.net,contact@photographywebsite.net,not safe
539,nonprofit.com,donations@nonprofit.com,safe
540,digitalagency.com,info@digitalagency.com,not safe
541,fashionretail.net,customerservice@fashionretail.net,safe
542,entertainmentvenue.net,bookings@entertainmentvenue.net,not safe
543,softwaredevelopmentcompany.net,support@softwaredevelopmentcompany.net,safe
544,healthblog.net,editor@healthblog.net,not safe
545,travelcompany.net,info@travelcompany.net,safe
546,petcareclinic.net,appointments@petcareclinic.net,not safe
547,marketingfirm.net,inquiries@marketingfirm.net,safe
548,bloggingplatform.org,admin@bloggingplatform.org,not safe
549,technologywebsite.net,info@technologywebsite.net,safe
550,fitnesscenter.org,membership@fitnesscenter.org,not safe
551,creativeagency.net,contact@creativeagency.net,safe
552,videogamestudio.com,info@videogamestudio.com,not safe
553,fooddeliveryservice.net,orders@fooddeliveryservice.net,safe
554,educationportal.net,support@educationportal.net,not safe
555,artgallery.org,sales@artgallery.org,safe
556,softwareconsultingfirm.com,info@softwareconsultingfirm.com,not safe
557,hospitalityindustry.com,reservations@hospitalityindustry.com,safe
558,socialnetworkingplatform.net,support@socialnetworkingplatform.net,not safe
559,fashiondesigner.com,designer@fashiondesigner.com,safe
560,techstartup.net,founders@techstartup.net,not safe
561,realestateagency.net,info@realestateagency.net,safe
562,petcareclinic.com,appointments@petcareclinic.com,not safe
563,marketingagency.com,contact@marketingagency.com,safe
564,cookingblog.com,recipes@cookingblog.com,not safe
565,healthandfitness.net,info@healthandfitness.net,safe
566,gamingplatform.net,support@gamingplatform.net,not safe
567,fashionretailer.net,support@fashionretailer.net,safe
568,technologyblog.net,editor@technologyblog.net,not safe
569,wellnesscenter.net,appointments@wellnesscenter.net,safe
570,designstudio.net,design@designstudio.net,not safe
571,softwaredeveloper.com,info@softwaredeveloper.com,safe
572,fooddelivery.net,orders@fooddelivery.net,not safe
573,consultingfirm.net,info@consultingfirm.net,safe
574,travelagency.net,vacations@travelagency.net,not safe
575,artgallery.net,inquiries@artgallery.net,safe
576,ecommerceplatform.net,support@ecommerceplatform.net,not safe
577,healthandfitness.net,info@healthandfitness.net,safe
578,gamingcommunity.net,support@gamingcommunity.net,not safe
579,fashionbrand.net,inquiries@fashionbrand.net,safe
580,techstartup.net,founders@techstartup.net,not safe
581,realtycompany.net,info@realtycompany.net,safe
582,petcare.net,info@petcare.net,not safe
583,digitalmarketingagency.com,contact@digitalmarketingagency.com,safe
584,softwarecompany.net,info@softwarecompany.net,not safe
585,musicproductionstudio.net,bookings@musicproductionstudio.net,safe
586,educationalplatform.com,support@educationalplatform.com,not safe
587,eventplanningcompany.net,events@eventplanningcompany.net,safe
588,freelancemarketplace.net,support@freelancemarketplace.net,not safe
589,healthcareprovider.com,info@healthcareprovider.com,safe
590,photographywebsite.net,contact@photographywebsite.net,not safe
591,nonprofit.com,donations@nonprofit.com,safe
592,digitalagency.com,info@digitalagency.com,not safe
593,fashionretail.net,customerservice@fashionretail.net,safe
594,entertainmentvenue.net,bookings@entertainmentvenue.net,not safe
595,softwaredevelopmentcompany.net,support@softwaredevelopmentcompany.net,safe
596,healthblog.net,editor@healthblog.net,not safe
597,travelcompany.net,info@travelcompany.net,safe
598,petcareclinic.net,appointments@petcareclinic.net,not safe
599,marketingfirm.net,inquiries@marketingfirm.net,safe
600,bloggingplatform.org,admin@bloggingplatform.org,not safe
